ZIP CODE,NAME,,,,,,,,,
92163,"SD, HILLCREST ",,,,,,,,,
92164,"SD, NORTH PARK ",,,,,,,,,
92165,"SD, CITY HEIGHTS ",,,,,,,,,
92166,"SD, POINT LOMA ",,,,,,,,,
92167,"SD, OCEAN BEACH ",,,,,,,,,
92168,"SD, MISSION VALLEY ",,,,,,,,,
92169,"SD, PACIFIC BEACH ",,,,,,,,,
92170,"SD, SOUTHEASTERN ",,,,,,,,,
92171,"SD, LINDA VISTA ",,,,,,,,,
92172,"SD, RANCHO PENASQUITOS ",,,,,,,,,
92173,SAN YSIDRO,,,,,,,,,
92174,"SD, ENCANTO ",,,,,,,,,
92175,SAN DIEGO ,,,,,,,,,
92176,"SD, NORMAL HEIGHTS ",,,,,,,,,
92177,"SD, CLAIREMONT ",,,,,,,,,
92178,CORONADO ,,,,,,,,,
92179,DONOVAN CORR. FACILITY ,,,,,,,,,
92186,"SD, LOMA PORTAL ",,,,,,,,,
92190,"SD, GRANTVILLE ",,,,,,,,,
92191,"SD, SORRENTO VALLEY ",,,,,,,,,
92192,"SD, UNIVERSITY CITY ",,,,,,,,,
92193,"SD, SERRA MESA ",,,,,,,,,
92194,"SD, SERRA MESA ",,,,,,,,,
92195,"SD , ROLANDO ",,,,,,,,,
92196,"SD , MIRA MESA ",,,,,,,,,
92197,"SD , RANCHO BERNARDO",,,,,,,,,
92198,"SD, RANCHO BERNARDO ",,,,,,,,,
 92199," SD, RANCHO BERNARDO",,,,,,,,,
